Category: All categories

Week,bitcoin: (Worldwide)
2013-01-06,3
2013-01-13,3
2013-01-20,4
2013-01-27,4
2013-02-03,4
2013-02-10,5
2013-02-17,6
2013-02-24,6
2013-03-03,8
2013-03-10,9
2013-03-17,13
2013-03-24,23
2013-03-31,42
2013-04-07,79
2013-04-14,41
2013-04-21,25
2013-04-28,21
2013-05-05,15
2013-05-12,15
2013-05-19,13
2013-05-26,13
2013-06-02,10
2013-06-09,11
2013-06-16,9
2013-06-23,10
2013-06-30,12
2013-07-07,10
2013-07-14,8
2013-07-21,9
2013-07-28,9
2013-08-04,9
2013-08-11,11
2013-08-18,11
2013-08-25,10
2013-09-01,9
2013-09-08,8
2013-09-15,8
2013-09-22,8
2013-09-29,15
2013-10-06,10
2013-10-13,10
2013-10-20,12
2013-10-27,34
2013-11-03,34
2013-11-10,38
2013-11-17,81
2013-11-24,99
2013-12-01,100
2013-12-08,70
2013-12-15,73
2013-12-22,48
2013-12-29,41
