Category: All categories

Day,bitcoin: (Worldwide)
2017-06-01,6
2017-06-02,6
2017-06-03,5
2017-06-04,5
2017-06-05,6
2017-06-06,9
2017-06-07,8
2017-06-08,6
2017-06-09,6
2017-06-10,6
2017-06-11,6
2017-06-12,9
2017-06-13,7
2017-06-14,7
2017-06-15,9
2017-06-16,6
2017-06-17,6
2017-06-18,5
2017-06-19,5
2017-06-20,6
2017-06-21,6
2017-06-22,6
2017-06-23,5
2017-06-24,5
2017-06-25,5
2017-06-26,6
2017-06-27,7
2017-06-28,7
2017-06-29,5
2017-06-30,5
2017-07-01,5
2017-07-02,5
2017-07-03,5
2017-07-04,5
2017-07-05,5
2017-07-06,5
2017-07-07,5
2017-07-08,5
2017-07-09,5
2017-07-10,5
2017-07-11,6
2017-07-12,6
2017-07-13,5
2017-07-14,5
2017-07-15,6
2017-07-16,6
2017-07-17,6
2017-07-18,6
2017-07-19,6
2017-07-20,6
2017-07-21,6
2017-07-22,5
2017-07-23,5
2017-07-24,5
2017-07-25,6
2017-07-26,5
2017-07-27,5
2017-07-28,6
2017-07-29,5
2017-07-30,5
2017-07-31,6
2017-08-01,13
2017-08-02,12
2017-08-03,7
2017-08-04,6
2017-08-05,8
2017-08-06,7
2017-08-07,9
2017-08-08,9
2017-08-09,8
2017-08-10,7
2017-08-11,8
2017-08-12,9
2017-08-13,11
2017-08-14,14
2017-08-15,14
2017-08-16,11
2017-08-17,11
2017-08-18,11
2017-08-19,10
2017-08-20,9
2017-08-21,10
2017-08-22,10
2017-08-23,10
2017-08-24,9
2017-08-25,9
2017-08-26,7
2017-08-27,7
2017-08-28,8
2017-08-29,10
2017-08-30,10
2017-08-31,11
2017-09-01,12
2017-09-02,11
2017-09-03,10
2017-09-04,13
2017-09-05,12
2017-09-06,11
2017-09-07,10
2017-09-08,10
2017-09-09,8
2017-09-10,8
2017-09-11,10
2017-09-12,10
2017-09-13,13
2017-09-14,17
2017-09-15,18
2017-09-16,12
2017-09-17,9
2017-09-18,11
2017-09-19,11
2017-09-20,9
2017-09-21,9
2017-09-22,8
2017-09-23,6
2017-09-24,6
2017-09-25,7
2017-09-26,7
2017-09-27,7
2017-09-28,7
2017-09-29,7
2017-09-30,6
2017-10-01,6
2017-10-02,7
2017-10-03,7
2017-10-04,7
2017-10-05,6
2017-10-06,6
2017-10-07,6
2017-10-08,6
2017-10-09,8
2017-10-10,9
2017-10-11,8
2017-10-12,15
2017-10-13,18
2017-10-14,12
2017-10-15,11
2017-10-16,12
2017-10-17,11
2017-10-18,11
2017-10-19,11
2017-10-20,13
2017-10-21,15
2017-10-22,11
2017-10-23,14
2017-10-24,15
2017-10-25,13
2017-10-26,13
2017-10-27,11
2017-10-28,9
2017-10-29,10
2017-10-30,12
2017-10-31,14
2017-11-01,17
2017-11-02,24
2017-11-03,22
2017-11-04,17
2017-11-05,16
2017-11-06,17
2017-11-07,17
2017-11-08,18
2017-11-09,16
2017-11-10,20
2017-11-11,19
2017-11-12,25
2017-11-13,21
2017-11-14,17
2017-11-15,17
2017-11-16,17
2017-11-17,20
2017-11-18,15
2017-11-19,15
2017-11-20,19
2017-11-21,20
2017-11-22,17
2017-11-23,16
2017-11-24,15
2017-11-25,17
2017-11-26,24
2017-11-27,33
2017-11-28,39
2017-11-29,61
2017-11-30,51
2017-12-01,38
2017-12-02,29
2017-12-03,29
2017-12-04,34
2017-12-05,34
2017-12-06,48
2017-12-07,97
2017-12-08,88
2017-12-09,57
2017-12-10,55
2017-12-11,62
2017-12-12,61
2017-12-13,54
2017-12-14,46
2017-12-15,43
2017-12-16,43
2017-12-17,48
2017-12-18,47
2017-12-19,51
2017-12-20,69
2017-12-21,51
2017-12-22,100
2017-12-23,61
2017-12-24,46
2017-12-25,41
2017-12-26,40
2017-12-27,39
2017-12-28,38
2017-12-29,33
2017-12-30,34
2017-12-31,27
2018-01-01,26
