Category: All categories

Day,bitcoin: (Worldwide)
2014-06-01,52
2014-06-02,58
2014-06-03,63
2014-06-04,51
2014-06-05,52
2014-06-06,48
2014-06-07,46
2014-06-08,45
2014-06-09,46
2014-06-10,51
2014-06-11,59
2014-06-12,63
2014-06-13,71
2014-06-14,55
2014-06-15,52
2014-06-16,58
2014-06-17,56
2014-06-18,50
2014-06-19,54
2014-06-20,52
2014-06-21,44
2014-06-22,46
2014-06-23,45
2014-06-24,43
2014-06-25,42
2014-06-26,44
2014-06-27,49
2014-06-28,45
2014-06-29,44
2014-06-30,51
2014-07-01,50
2014-07-02,52
2014-07-03,51
2014-07-04,48
2014-07-05,44
2014-07-06,48
2014-07-07,51
2014-07-08,47
2014-07-09,46
2014-07-10,47
2014-07-11,49
2014-07-12,43
2014-07-13,40
2014-07-14,41
2014-07-15,47
2014-07-16,53
2014-07-17,53
2014-07-18,50
2014-07-19,51
2014-07-20,46
2014-07-21,47
2014-07-22,47
2014-07-23,47
2014-07-24,48
2014-07-25,47
2014-07-26,43
2014-07-27,44
2014-07-28,46
2014-07-29,45
2014-07-30,47
2014-07-31,46
2014-08-01,46
2014-08-02,42
2014-08-03,40
2014-08-04,43
2014-08-05,46
2014-08-06,52
2014-08-07,50
2014-08-08,44
2014-08-09,42
2014-08-10,43
2014-08-11,49
2014-08-12,45
2014-08-13,70
2014-08-14,62
2014-08-15,63
2014-08-16,55
2014-08-17,46
2014-08-18,59
2014-08-19,58
2014-08-20,57
2014-08-21,45
2014-08-22,49
2014-08-23,43
2014-08-24,46
2014-08-25,43
2014-08-26,43
2014-08-27,39
2014-08-28,43
2014-08-29,43
2014-08-30,43
2014-08-31,50
2014-09-01,51
2014-09-02,54
2014-09-03,50
2014-09-04,48
2014-09-05,47
2014-09-06,44
2014-09-07,45
2014-09-08,47
2014-09-09,58
2014-09-10,66
2014-09-11,67
2014-09-12,56
2014-09-13,42
2014-09-14,42
2014-09-15,46
2014-09-16,44
2014-09-17,47
2014-09-18,46
2014-09-19,53
2014-09-20,46
2014-09-21,48
2014-09-22,47
2014-09-23,57
2014-09-24,54
2014-09-25,47
2014-09-26,45
2014-09-27,39
2014-09-28,47
2014-09-29,56
2014-09-30,54
2014-10-01,47
2014-10-02,47
2014-10-03,45
2014-10-04,52
2014-10-05,65
2014-10-06,65
2014-10-07,59
2014-10-08,56
2014-10-09,57
2014-10-10,51
2014-10-11,45
2014-10-12,44
2014-10-13,49
2014-10-14,57
2014-10-15,53
2014-10-16,47
2014-10-17,43
2014-10-18,46
2014-10-19,43
2014-10-20,39
2014-10-21,40
2014-10-22,44
2014-10-23,44
2014-10-24,42
2014-10-25,39
2014-10-26,42
2014-10-27,42
2014-10-28,45
2014-10-29,43
2014-10-30,40
2014-10-31,38
2014-11-01,39
2014-11-02,45
2014-11-03,42
2014-11-04,41
2014-11-05,42
2014-11-06,49
2014-11-07,48
2014-11-08,44
2014-11-09,48
2014-11-10,47
2014-11-11,55
2014-11-12,57
2014-11-13,62
2014-11-14,46
2014-11-15,45
2014-11-16,44
2014-11-17,45
2014-11-18,49
2014-11-19,43
2014-11-20,43
2014-11-21,41
2014-11-22,42
2014-11-23,41
2014-11-24,42
2014-11-25,44
2014-11-26,38
2014-11-27,45
2014-11-28,41
2014-11-29,40
2014-11-30,39
2014-12-01,40
2014-12-02,46
2014-12-03,43
2014-12-04,42
2014-12-05,42
2014-12-06,40
2014-12-07,45
2014-12-08,48
2014-12-09,41
2014-12-10,45
2014-12-11,60
2014-12-12,58
2014-12-13,46
2014-12-14,44
2014-12-15,46
2014-12-16,48
2014-12-17,50
2014-12-18,50
2014-12-19,47
2014-12-20,47
2014-12-21,43
2014-12-22,44
2014-12-23,43
2014-12-24,43
2014-12-25,45
2014-12-26,50
2014-12-27,100
2014-12-28,44
2014-12-29,46
2014-12-30,42
2014-12-31,45
2015-01-01,43
