Category: All categories

Day,bitcoin: (Worldwide)
2010-06-01,0
2010-06-02,0
2010-06-03,6
2010-06-04,14
2010-06-05,0
2010-06-06,8
2010-06-07,6
2010-06-08,0
2010-06-09,6
2010-06-10,6
2010-06-11,0
2010-06-12,9
2010-06-13,0
2010-06-14,0
2010-06-15,0
2010-06-16,0
2010-06-17,0
2010-06-18,0
2010-06-19,9
2010-06-20,0
2010-06-21,0
2010-06-22,0
2010-06-23,0
2010-06-24,6
2010-06-25,0
2010-06-26,9
2010-06-27,9
2010-06-28,0
2010-06-29,19
2010-06-30,0
2010-07-01,0
2010-07-02,0
2010-07-03,0
2010-07-04,0
2010-07-05,0
2010-07-06,0
2010-07-07,0
2010-07-08,0
2010-07-09,0
2010-07-10,8
2010-07-11,24
2010-07-12,93
2010-07-13,35
2010-07-14,41
2010-07-15,47
2010-07-16,25
2010-07-17,32
2010-07-18,0
2010-07-19,17
2010-07-20,17
2010-07-21,12
2010-07-22,36
2010-07-23,6
2010-07-24,15
2010-07-25,8
2010-07-26,6
2010-07-27,6
2010-07-28,12
2010-07-29,12
2010-07-30,6
2010-07-31,8
2010-08-01,0
2010-08-02,12
2010-08-03,12
2010-08-04,6
2010-08-05,6
2010-08-06,13
2010-08-07,15
2010-08-08,0
2010-08-09,17
2010-08-10,6
2010-08-11,0
2010-08-12,0
2010-08-13,13
2010-08-14,0
2010-08-15,8
2010-08-16,6
2010-08-17,12
2010-08-18,0
2010-08-19,12
2010-08-20,12
2010-08-21,15
2010-08-22,7
2010-08-23,11
2010-08-24,6
2010-08-25,6
2010-08-26,0
2010-08-27,12
2010-08-28,15
2010-08-29,0
2010-08-30,5
2010-08-31,0
2010-09-01,17
2010-09-02,11
2010-09-03,6
2010-09-04,22
2010-09-05,7
2010-09-06,12
2010-09-07,0
2010-09-08,0
2010-09-09,6
2010-09-10,6
2010-09-11,0
2010-09-12,7
2010-09-13,21
2010-09-14,0
2010-09-15,11
2010-09-16,6
2010-09-17,12
2010-09-18,14
2010-09-19,7
2010-09-20,21
2010-09-21,22
2010-09-22,11
2010-09-23,5
2010-09-24,11
2010-09-25,13
2010-09-26,0
2010-09-27,5
2010-09-28,10
2010-09-29,0
2010-09-30,11
2010-10-01,17
2010-10-02,14
2010-10-03,0
2010-10-04,16
2010-10-05,5
2010-10-06,5
2010-10-07,6
2010-10-08,11
2010-10-09,0
2010-10-10,20
2010-10-11,0
2010-10-12,5
2010-10-13,11
2010-10-14,5
2010-10-15,17
2010-10-16,0
2010-10-17,13
2010-10-18,0
2010-10-19,10
2010-10-20,10
2010-10-21,11
2010-10-22,16
2010-10-23,20
2010-10-24,0
2010-10-25,10
2010-10-26,0
2010-10-27,5
2010-10-28,5
2010-10-29,6
2010-10-30,7
2010-10-31,0
2010-11-01,5
2010-11-02,0
2010-11-03,5
2010-11-04,5
2010-11-05,5
2010-11-06,0
2010-11-07,6
2010-11-08,5
2010-11-09,10
2010-11-10,10
2010-11-11,37
2010-11-12,5
2010-11-13,7
2010-11-14,6
2010-11-15,26
2010-11-16,5
2010-11-17,15
2010-11-18,15
2010-11-19,5
2010-11-20,19
2010-11-21,6
2010-11-22,10
2010-11-23,5
2010-11-24,10
2010-11-25,11
2010-11-26,39
2010-11-27,13
2010-11-28,6
2010-11-29,5
2010-11-30,5
2010-12-01,30
2010-12-02,15
2010-12-03,5
2010-12-04,31
2010-12-05,25
2010-12-06,15
2010-12-07,25
2010-12-08,21
2010-12-09,15
2010-12-10,21
2010-12-11,19
2010-12-12,100
2010-12-13,34
2010-12-14,25
2010-12-15,21
2010-12-16,26
2010-12-17,27
2010-12-18,26
2010-12-19,40
2010-12-20,31
2010-12-21,37
2010-12-22,5
2010-12-23,40
2010-12-24,41
2010-12-25,24
2010-12-26,42
2010-12-27,11
2010-12-28,11
2010-12-29,22
2010-12-30,40
2010-12-31,41
2011-01-01,22
