Category: All categories

Day,bitcoin: (Worldwide)
2018-06-01,39
2018-06-02,38
2018-06-03,39
2018-06-04,39
2018-06-05,41
2018-06-06,39
2018-06-07,38
2018-06-08,38
2018-06-09,36
2018-06-10,48
2018-06-11,74
2018-06-12,56
2018-06-13,67
2018-06-14,57
2018-06-15,44
2018-06-16,39
2018-06-17,37
2018-06-18,44
2018-06-19,42
2018-06-20,41
2018-06-21,39
2018-06-22,49
2018-06-23,44
2018-06-24,49
2018-06-25,46
2018-06-26,41
2018-06-27,39
2018-06-28,39
2018-06-29,52
2018-06-30,45
2018-07-01,38
2018-07-02,43
2018-07-03,41
2018-07-04,40
2018-07-05,41
2018-07-06,38
2018-07-07,32
2018-07-08,36
2018-07-09,37
2018-07-10,39
2018-07-11,36
2018-07-12,39
2018-07-13,38
2018-07-14,34
2018-07-15,33
2018-07-16,40
2018-07-17,54
2018-07-18,65
2018-07-19,49
2018-07-20,45
2018-07-21,39
2018-07-22,39
2018-07-23,46
2018-07-24,71
2018-07-25,63
2018-07-26,50
2018-07-27,50
2018-07-28,41
2018-07-29,39
2018-07-30,45
2018-07-31,46
2018-08-01,44
2018-08-02,42
2018-08-03,43
2018-08-04,41
2018-08-05,39
2018-08-06,43
2018-08-07,44
2018-08-08,60
2018-08-09,49
2018-08-10,44
2018-08-11,45
2018-08-12,39
2018-08-13,45
2018-08-14,62
2018-08-15,49
2018-08-16,44
2018-08-17,41
2018-08-18,37
2018-08-19,36
2018-08-20,38
2018-08-21,42
2018-08-22,46
2018-08-23,41
2018-08-24,38
2018-08-25,37
2018-08-26,35
2018-08-27,38
2018-08-28,48
2018-08-29,43
2018-08-30,40
2018-08-31,40
2018-09-01,38
2018-09-02,39
2018-09-03,39
2018-09-04,42
2018-09-05,56
2018-09-06,65
2018-09-07,45
2018-09-08,38
2018-09-09,37
2018-09-10,38
2018-09-11,42
2018-09-12,44
2018-09-13,43
2018-09-14,40
2018-09-15,35
2018-09-16,34
2018-09-17,37
2018-09-18,37
2018-09-19,37
2018-09-20,37
2018-09-21,40
2018-09-22,36
2018-09-23,35
2018-09-24,36
2018-09-25,36
2018-09-26,36
2018-09-27,36
2018-09-28,36
2018-09-29,32
2018-09-30,32
2018-10-01,32
2018-10-02,35
2018-10-03,34
2018-10-04,34
2018-10-05,32
2018-10-06,30
2018-10-07,28
2018-10-08,33
2018-10-09,33
2018-10-10,35
2018-10-11,44
2018-10-12,36
2018-10-13,32
2018-10-14,32
2018-10-15,40
2018-10-16,36
2018-10-17,35
2018-10-18,34
2018-10-19,33
2018-10-20,31
2018-10-21,30
2018-10-22,32
2018-10-23,32
2018-10-24,33
2018-10-25,33
2018-10-26,31
2018-10-27,28
2018-10-28,28
2018-10-29,32
2018-10-30,33
2018-10-31,35
2018-11-01,34
2018-11-02,33
2018-11-03,30
2018-11-04,33
2018-11-05,34
2018-11-06,35
2018-11-07,34
2018-11-08,33
2018-11-09,33
2018-11-10,30
2018-11-11,28
2018-11-12,32
2018-11-13,33
2018-11-14,55
2018-11-15,66
2018-11-16,43
2018-11-17,37
2018-11-18,36
2018-11-19,67
2018-11-20,100
2018-11-21,77
2018-11-22,49
2018-11-23,56
2018-11-24,46
2018-11-25,80
2018-11-26,81
2018-11-27,76
2018-11-28,66
2018-11-29,54
2018-11-30,47
2018-12-01,41
2018-12-02,36
2018-12-03,47
2018-12-04,45
2018-12-05,44
2018-12-06,47
2018-12-07,72
2018-12-08,46
2018-12-09,42
2018-12-10,44
2018-12-11,45
2018-12-12,42
2018-12-13,44
2018-12-14,47
2018-12-15,42
2018-12-16,39
2018-12-17,51
2018-12-18,50
2018-12-19,55
2018-12-20,57
2018-12-21,46
2018-12-22,40
2018-12-23,40
2018-12-24,45
2018-12-25,43
2018-12-26,41
2018-12-27,40
2018-12-28,40
2018-12-29,38
2018-12-30,36
2018-12-31,36
2019-01-01,36
