Category: All categories

Day,bitcoin: (Worldwide)
2013-01-01,3
2013-01-02,3
2013-01-03,3
2013-01-04,4
2013-01-05,4
2013-01-06,4
2013-01-07,4
2013-01-08,3
2013-01-09,3
2013-01-10,3
2013-01-11,3
2013-01-12,4
2013-01-13,3
2013-01-14,3
2013-01-15,3
2013-01-16,3
2013-01-17,4
2013-01-18,3
2013-01-19,3
2013-01-20,3
2013-01-21,3
2013-01-22,4
2013-01-23,4
2013-01-24,5
2013-01-25,3
2013-01-26,3
2013-01-27,3
2013-01-28,3
2013-01-29,4
2013-01-30,4
2013-01-31,5
2013-02-01,6
2013-02-02,5
2013-02-03,4
2013-02-04,5
2013-02-05,4
2013-02-06,5
2013-02-07,4
2013-02-08,4
2013-02-09,5
2013-02-10,4
2013-02-11,4
2013-02-12,6
2013-02-13,5
2013-02-14,5
2013-02-15,6
2013-02-16,5
2013-02-17,6
2013-02-18,6
2013-02-19,6
2013-02-20,6
2013-02-21,5
2013-02-22,6
2013-02-23,6
2013-02-24,6
2013-02-25,6
2013-02-26,5
2013-02-27,5
2013-02-28,8
2013-03-01,8
2013-03-02,6
2013-03-03,7
2013-03-04,6
2013-03-05,8
2013-03-06,10
2013-03-07,10
2013-03-08,9
2013-03-09,9
2013-03-10,8
2013-03-11,9
2013-03-12,13
2013-03-13,10
2013-03-14,8
2013-03-15,7
2013-03-16,8
2013-03-17,8
2013-03-18,9
2013-03-19,11
2013-03-20,13
2013-03-21,16
2013-03-22,20
2013-03-23,19
2013-03-24,16
2013-03-25,18
2013-03-26,18
2013-03-27,19
2013-03-28,27
2013-03-29,26
2013-03-30,26
2013-03-31,25
2013-04-01,28
2013-04-02,31
2013-04-03,48
2013-04-04,46
2013-04-05,39
2013-04-06,31
2013-04-07,33
2013-04-08,46
2013-04-09,56
2013-04-10,81
2013-04-11,100
2013-04-12,83
2013-04-13,57
2013-04-14,47
2013-04-15,46
2013-04-16,41
2013-04-17,34
2013-04-18,34
2013-04-19,27
2013-04-20,22
2013-04-21,24
2013-04-22,21
2013-04-23,26
2013-04-24,23
2013-04-25,21
2013-04-26,21
2013-04-27,18
2013-04-28,19
2013-04-29,18
2013-04-30,16
2013-05-01,21
2013-05-02,22
2013-05-03,22
2013-05-04,18
2013-05-05,16
2013-05-06,18
2013-05-07,16
2013-05-08,15
2013-05-09,16
2013-05-10,14
2013-05-11,14
2013-05-12,15
2013-05-13,15
2013-05-14,14
2013-05-15,18
2013-05-16,15
2013-05-17,15
2013-05-18,15
2013-05-19,17
2013-05-20,15
2013-05-21,14
2013-05-22,13
2013-05-23,12
2013-05-24,13
2013-05-25,12
2013-05-26,11
2013-05-27,12
2013-05-28,14
2013-05-29,17
2013-05-30,13
2013-05-31,14
2013-06-01,12
